"","K","I","rank","p_value"
"statistic...1",1,-0.142754737458615,210,0.42
"statistic...2",2,-0.324954228458367,7,0.014
"statistic...3",3,-0.256166641417264,12,0.024
"statistic...4",4,-0.196602452780216,19,0.038
"statistic...5",5,-0.141148243109414,75,0.15
"statistic...6",6,-0.112383273799439,130,0.26
"statistic...7",7,-0.11425845766007,77,0.154
"statistic...8",8,-0.101704106242673,96,0.192
"statistic...9",9,-0.0813583281043124,185,0.37
"statistic...10",10,-0.0848219258795343,120,0.24
