"","K","I","rank","p_value"
"statistic...1",1,0.104775873826328,732,0.536
"statistic...2",2,0.171039190972647,887,0.226
"statistic...3",3,0.139980548192218,896,0.208
"statistic...4",4,0.135045953682159,916,0.168
"statistic...5",5,0.122796800611631,930,0.14
"statistic...6",6,0.102129439237189,924,0.152
"statistic...7",7,0.0846791787089555,912,0.176
"statistic...8",8,0.122364430377137,961,0.078
"statistic...9",9,0.104890154724302,957,0.086
"statistic...10",10,0.0909216026937068,951,0.098
